,pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
41,42,golbat,poison,flying,"[['razor-wind', 'normal'], ['gust', 'flying'], ['wing-attack', 'flying'], ['whirlwind', 'normal'], ['fly', 'flying'], ['headbutt', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['bite', 'dark'], ['supersonic', 'normal'], ['hyper-beam', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['toxic', 'poison'], ['hypnosis', 'psychic'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['haze', 'ice'], ['bide', 'normal'], ['swift', 'normal'], ['leech-life', 'bug'], ['rest', 'psychic'], ['super-fang', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['shadow-ball', 'ghost'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['snatch', 'dark'], ['secret-power', 'normal'], ['poison-fang', 'poison'], ['astonish', 'ghost'], ['air-cutter', 'flying'], ['aerial-ace', 'flying'], ['roost', 'flying'], ['natural-gift', 'normal'], ['pluck', 'flying'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['payback', 'dark'], ['assurance', 'dark'], ['air-slash', 'flying'], ['brave-bird', 'flying'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['zen-headbutt', 'psychic'], ['defog', 'flying'], ['cross-poison', 'poison'], ['captivate', 'normal'], ['ominous-wind', 'ghost'], ['venoshock', 'poison'], ['round', 'normal'], ['quick-guard', 'fighting'], ['acrobatics', 'flying'], ['confide', 'normal'], ['venom-drench', 'poison'], ['dual-wingbeat', 'flying']]",75,80,70,65,75,90
42,43,oddish,grass,poison,"[['swords-dance', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['acid', 'poison'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['reflect', 'psychic'], ['bide', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['moonlight', 'fairy'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['secret-power', 'normal'], ['teeter-dance', 'normal'], ['tickle', 'normal'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['gastro-acid', 'poison'], ['lucky-chant', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['acid-spray', 'poison'], ['after-you', 'normal'], ['round', 'normal'], ['grassy-terrain', 'grass'], ['moonblast', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['strength-sap', 'grass'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",45,50,55,75,65,30
43,44,gloom,grass,poison,"[['swords-dance', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['acid', 'poison'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['reflect', 'psychic'], ['bide', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['moonlight', 'fairy'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['secret-power', 'normal'], ['teeter-dance', 'normal'], ['tickle', 'normal'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['fling', 'dark'], ['gastro-acid', 'poison'], ['lucky-chant', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['drain-punch', 'fighting'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['acid-spray', 'poison'], ['after-you', 'normal'], ['round', 'normal'], ['petal-blizzard', 'grass'], ['grassy-terrain', 'grass'], ['moonblast', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['strength-sap', 'grass'], ['pollen-puff', 'bug'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",60,65,70,85,75,40
44,45,vileplume,grass,poison,"[['swords-dance', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['acid', 'poison'], ['hyper-beam', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['reflect', 'psychic'], ['bide', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['moonlight', 'fairy'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['secret-power', 'normal'], ['teeter-dance', 'normal'], ['weather-ball', 'normal'], ['aromatherapy', 'grass'], ['tickle', 'normal'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['fling', 'dark'], ['gastro-acid', 'poison'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['drain-punch', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['sludge-wave', 'poison'], ['acid-spray', 'poison'], ['after-you', 'normal'], ['round', 'normal'], ['petal-blizzard', 'grass'], ['grassy-terrain', 'grass'], ['moonblast', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['strength-sap', 'grass'], ['solar-blade', 'grass'], ['pollen-puff', 'bug'], ['grassy-glide', 'grass'], ['corrosive-gas', 'poison'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",75,80,85,110,90,50
45,46,paras,bug,grass,"[['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['psybeam', 'psychic'], ['counter', 'fighting'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['string-shot', 'bug'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['skull-bash', 'normal'], ['leech-life', 'bug'], ['spore', 'grass'], ['flash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['giga-drain', 'grass'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pursuit', 'dark'], ['sweet-scent', 'normal'], ['metal-claw', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['aromatherapy', 'grass'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['x-scissor', 'bug'], ['energy-ball', 'grass'], ['cross-poison', 'poison'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['bug-bite', 'bug'], ['hone-claws', 'dark'], ['wide-guard', 'rock'], ['venoshock', 'poison'], ['rage-powder', 'bug'], ['after-you', 'normal'], ['round', 'normal'], ['struggle-bug', 'bug'], ['rototiller', 'ground'], ['fell-stinger', 'bug'], ['grassy-terrain', 'grass'], ['confide', 'normal']]",35,70,55,45,55,25
46,47,parasect,bug,grass,"[['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['hyper-beam', 'normal'], ['counter', 'fighting'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['string-shot', 'bug'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['skull-bash', 'normal'], ['leech-life', 'bug'], ['spore', 'grass'], ['flash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['giga-drain', 'grass'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['aromatherapy', 'grass'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['x-scissor', 'bug'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['cross-poison', 'poison'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['bug-bite', 'bug'], ['hone-claws', 'dark'], ['venoshock', 'poison'], ['rage-powder', 'bug'], ['after-you', 'normal'], ['round', 'normal'], ['struggle-bug', 'bug'], ['confide', 'normal'], ['throat-chop', 'dark']]",60,95,80,60,80,30
47,48,venonat,bug,poison,"[['headbutt', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['supersonic', 'normal'], ['disable', 'normal'], ['psybeam', 'psychic'], ['mega-drain', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['confusion', 'psychic'], ['psychic', 'psychic'], ['agility', 'psychic'], ['rage', 'normal'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['reflect', 'psychic'], ['bide', 'normal'], ['swift', 'normal'], ['leech-life', 'bug'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['foresight', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['baton-pass', 'normal'], ['sweet-scent', 'normal'], ['morning-sun', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['facade', 'normal'], ['endeavor', 'normal'], ['skill-swap', 'psychic'], ['secret-power', 'normal'], ['poison-fang', 'poison'], ['signal-beam', 'bug'], ['natural-gift', 'normal'], ['toxic-spikes', 'poison'], ['bug-buzz', 'bug'], ['energy-ball', 'grass'], ['zen-headbutt', 'psychic'], ['captivate', 'normal'], ['bug-bite', 'bug'], ['venoshock', 'poison'], ['rage-powder', 'bug'], ['acid-spray', 'poison'], ['round', 'normal'], ['struggle-bug', 'bug'], ['confide', 'normal'], ['infestation', 'bug'], ['lunge', 'bug'], ['skitter-smack', 'bug'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['psychic-noise', 'psychic']]",60,55,50,40,55,45
48,49,venomoth,bug,poison,"[['razor-wind', 'normal'], ['gust', 'flying'], ['whirlwind', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['supersonic', 'normal'], ['disable', 'normal'], ['psybeam', 'psychic'], ['hyper-beam', 'normal'], ['mega-drain', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['confusion', 'psychic'], ['psychic', 'psychic'], ['agility', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['reflect', 'psychic'], ['bide', 'normal'], ['swift', 'normal'], ['dream-eater', 'psychic'], ['leech-life', 'bug'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['foresight', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['baton-pass', 'normal'], ['sweet-scent', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['sunny-day', 'fire'], ['facade', 'normal'], ['endeavor', 'normal'], ['skill-swap', 'psychic'], ['secret-power', 'normal'], ['poison-fang', 'poison'], ['air-cutter', 'flying'], ['silver-wind', 'bug'], ['signal-beam', 'bug'], ['aerial-ace', 'flying'], ['roost', 'flying'], ['natural-gift', 'normal'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['toxic-spikes', 'poison'], ['air-slash', 'flying'], ['bug-buzz', 'bug'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['defog', 'flying'], ['captivate', 'normal'], ['bug-bite', 'bug'], ['ominous-wind', 'ghost'], ['venoshock', 'poison'], ['sludge-wave', 'poison'], ['quiver-dance', 'bug'], ['acid-spray', 'poison'], ['round', 'normal'], ['acrobatics', 'flying'], ['struggle-bug', 'bug'], ['confide', 'normal'], ['infestation', 'bug'], ['lunge', 'bug'], ['skitter-smack', 'bug'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['psychic-noise', 'psychic']]",70,65,60,90,75,90
49,50,diglett,ground,,"[['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['sand-attack', 'ground'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['earthquake', 'ground'], ['fissure', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['bide', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['feint-attack', 'dark'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['sandstorm', 'rock'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['magnitude', 'ground'], ['pursuit', 'dark'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['uproar', 'normal'], ['memento', 'dark'], ['facade', 'normal'], ['helping-hand', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['aerial-ace', 'flying'], ['mud-shot', 'ground'], ['rock-blast', 'rock'], ['natural-gift', 'normal'], ['assurance', 'dark'], ['sucker-punch', 'dark'], ['earth-power', 'ground'], ['shadow-claw', 'ghost'], ['mud-bomb', 'ground'], ['stone-edge', 'rock'], ['captivate', 'normal'], ['stealth-rock', 'rock'], ['hone-claws', 'dark'], ['smack-down', 'rock'], ['foul-play', 'dark'], ['round', 'normal'], ['echoed-voice', 'normal'], ['ally-switch', 'psychic'], ['final-gambit', 'fighting'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['confide', 'normal'], ['throat-chop', 'dark'], ['stomping-tantrum', 'ground'], ['scorching-sands', 'ground'], ['tera-blast', 'normal']]",10,55,25,35,45,95
50,51,dugtrio,ground,,"[['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['sand-attack', 'ground'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['hyper-beam', 'normal'], ['earthquake', 'ground'], ['fissure', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['bide', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['tri-attack', 'normal'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['sandstorm', 'rock'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['magnitude', 'ground'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['uproar', 'normal'], ['facade', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['aerial-ace', 'flying'], ['mud-shot', 'ground'], ['rock-blast', 'rock'], ['natural-gift', 'normal'], ['assurance', 'dark'], ['sucker-punch', 'dark'], ['night-slash', 'dark'], ['earth-power', 'ground'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['mud-bomb', 'ground'], ['stone-edge', 'rock'], ['captivate', 'normal'], ['stealth-rock', 'rock'], ['hone-claws', 'dark'], ['smack-down', 'rock'], ['sludge-wave', 'poison'], ['foul-play', 'dark'], ['round', 'normal'], ['echoed-voice', 'normal'], ['ally-switch', 'psychic'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['rototiller', 'ground'], ['confide', 'normal'], ['high-horsepower', 'ground'], ['throat-chop', 'dark'], ['stomping-tantrum', 'ground'], ['scorching-sands', 'ground'], ['tera-blast', 'normal']]",35,100,50,50,70,120
51,52,meowth,normal,,"[['pay-day', 'normal'], ['scratch', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['water-gun', 'water'], ['bubble-beam', 'water'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['hypnosis', 'psychic'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['bide', 'normal'], ['swift', 'normal'], ['skull-bash', 'normal'], ['amnesia', 'psychic'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['feint-attack', 'dark'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['fake-out', 'normal'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['assist', 'normal'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['snatch', 'dark'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['fake-tears', 'dark'], ['odor-sleuth', 'normal'], ['aerial-ace', 'flying'], ['covet', 'normal'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['feint', 'normal'], ['u-turn', 'bug'], ['payback', 'dark'], ['assurance', 'dark'], ['punishment', 'dark'], ['last-resort', 'normal'], ['dark-pulse', 'dark'], ['night-slash', 'dark'], ['seed-bomb', 'grass'], ['power-gem', 'rock'], ['nasty-plot', 'dark'], ['shadow-claw', 'ghost'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['foul-play', 'dark'], ['round', 'normal'], ['echoed-voice', 'normal'], ['retaliate', 'normal'], ['work-up', 'normal'], ['snarl', 'dark'], ['play-rough', 'fairy'], ['confide', 'normal'], ['throat-chop', 'dark'], ['lash-out', 'dark'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['chilling-water', 'water']]",40,45,35,40,40,90
52,53,persian,normal,,"[['pay-day', 'normal'], ['scratch', 'normal'], ['cut', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['water-gun', 'water'], ['bubble-beam', 'water'], ['hyper-beam', 'normal'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['hypnosis', 'psychic'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['bide', 'normal'], ['swift', 'normal'], ['skull-bash', 'normal'], ['amnesia', 'psychic'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['feint-attack', 'dark'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['fake-out', 'normal'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['snatch', 'dark'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['fake-tears', 'dark'], ['aerial-ace', 'flying'], ['covet', 'normal'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['feint', 'normal'], ['u-turn', 'bug'], ['payback', 'dark'], ['assurance', 'dark'], ['embargo', 'dark'], ['last-resort', 'normal'], ['dark-pulse', 'dark'], ['night-slash', 'dark'], ['seed-bomb', 'grass'], ['power-gem', 'rock'], ['switcheroo', 'dark'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['shadow-claw', 'ghost'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['foul-play', 'dark'], ['round', 'normal'], ['echoed-voice', 'normal'], ['retaliate', 'normal'], ['work-up', 'normal'], ['snarl', 'dark'], ['play-rough', 'fairy'], ['confide', 'normal'], ['throat-chop', 'dark'], ['skitter-smack', 'bug'], ['lash-out', 'dark'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['chilling-water', 'water']]",65,70,60,65,65,115
